date_,city_name,order_id,cart_id,dim_customer_key,procured_quantity,unit_selling_price,total_discount_amount,product_id,total_weighted_landing_price,Unnamed: 0_y,product_name,unit,product_type,brand_name,manufacturer_name,l0_category,l1_category,l2_category,l0_category_id,l1_category_id,l2_category_id
2022-04-01,HR-NCR,112250867,164444739,3326530,1,21.0,0.0,448913,13.0,10039,Baby Bottle Gourd - Small,1 piece (250 g - 350 g),Bottle Gourd,,HOT,Vegetables & Fruits,Fresh Vegetables,Fresh Vegetables,1487,1489,1489
2022-04-15,Delhi,115229870,181299552,16031366,1,105.0,0.0,3570,91.66101,26186,McCain Aloo Tikki,400 g,Aloo Tikki,McCain,MCCAIN,Instant & Frozen Food,Frozen Veg Snacks,Frozen Potato Snacks,15,1413,122
2022-06-09,Bengaluru,129338452,206030370,1206076,1,46.0,0.0,432778,42.002,27239,Lay's American Style Cream & Onion Flavour Potato Chips,100 g,Potato Chips,Lay's,Pepsi Food,Munchies,Chips & Crisps,Potato Chips,1237,940,26
2022-05-07,HR-NCR,120438889,194958751,578535,1,30.0,0.0,86446,25.8,15016,Mother Dairy Classic Curd,400 g,Curd,Mother Dairy,Mother Dairy Fruit & Vegetable Pvt. Ltd. - Dairy,Dairy & Breakfast,Curd & Yogurt,Curd,14,123,949
2022-07-08,Delhi,137087730,230469163,10953663,1,30.0,0.0,123060,22.754007,1705,Rajdhani Maida,500 g,Maida,Rajdhani,Victoria Foods Pvt. Ltd.,"Atta, Rice & Dal","Besan, Sooji & Maida","Besan, Sooji & Maida",16,1166,1166
2022-05-01,Bengaluru,119114490,190739346,14495710,1,30.0,0.0,391305,23.081823,9092,Potato,1 kg,Potato,,HOT,Vegetables & Fruits,Fresh Vegetables,Fresh Vegetables,1487,1489,1489
2022-04-16,Bengaluru,115513385,182008889,5627396,4,21.0,0.0,369013,60.0,8146,Ridge Gourd,500 g - 600 g,Ridge Gourd,,HOT,Vegetables & Fruits,Fresh Vegetables,Fresh Vegetables,1487,1489,1489
2022-04-30,Delhi,118779311,181687963,17849477,1,89.0,0.0,19297,79.8,7001,Haldiram's Navratan Mixture Namkeen,440 g,Mixture Namkeen,Haldiram's,Haldiram Snacks Private Limited,Munchies,Bhujia & Mixtures,Bhujia & Mixtures,1237,1178,1178
2022-04-12,HR-NCR,114755232,180044795,18358273,1,95.0,0.0,97121,80.98306,21666,All Out Ultra Mosquito Killer Machine,1 piece + 45 ml,Mosquito Killer Machine,All Out,SC JOHNSON PRODUCTS PVT LTD,Home & Office,Repellents,Mosquito Repellents,1379,926,1080
2022-04-11,Bengaluru,114449959,174182012,1525262,1,11.0,0.0,3881,7.994106,5287,Hybrid Tomato,500 g,Tomato,,HOT,Vegetables & Fruits,Fresh Vegetables,Fresh Vegetables,1487,1489,1489
2022-04-02,Delhi,112466024,173889959,816083,1,19.0,0.0,199435,14.341295,32209,New Potato,1 kg,Potato,,HOT,Vegetables & Fruits,Fresh Vegetables,Fresh Vegetables,1487,1489,1489
2022-05-10,HR-NCR,121436842,197547284,13950121,1,245.0,0.0,108301,252.47192,13164,Aashirvaad Multigrain Atta,5 kg,Multigrain Atta,Aashirvaad,ITC Limited,"Atta, Rice & Dal",Atta,Atta,16,1165,1165
2022-06-04,Delhi,127996831,209794585,18146731,1,51.0,0.0,483231,45.506874,1743,Rajdhani Sooji/Rava - Pack of 2,2 x 500 g,Sooji,Rajdhani,Victoria Foods Pvt. Ltd.,"Atta, Rice & Dal","Besan, Sooji & Maida","Besan, Sooji & Maida",16,1166,1166
2022-04-21,HR-NCR,116655826,184983052,17323387,1,131.0,0.0,449125,90.0,4630,Farmland Frozen Sweet Corn (Pouch),1 kg,Sweet Corn,Farmland,ITC Ltd (Frozen),Instant & Frozen Food,Frozen Veg,Frozen Peas & Corn,15,157,172
2022-06-12,Bengaluru,130211985,217584155,17330032,1,50.0,0.0,101230,41.0,18498,Britannia Healthy Slice White Bread,450 g,White Bread,Britannia,Britannia Breads,Dairy & Breakfast,Bread & Pav,Milk & White Breads,14,953,31
2022-07-09,Delhi,137303877,232889909,1077082,1,102.0,0.0,32515,72.000244,29185,Dukes Waffy Choco Wafer Roll,250 g,Wafer Roll,Dukes Waffy,RAVI FOOD PRIVATE LIMITED,Bakery & Biscuits,Rusks & Wafers,Rusks & Wafers,888,107,107
2022-04-26,Delhi,117783128,187913319,16116772,2,25.0,0.0,212722,42.681912,31989,KitKat 4 Finger Wafer Chocolate Bar,38.5 g,Wafer Chocolate,KitKat,Nestle India,Sweet Tooth,Chocolates,Wafer Chocolates,9,944,1172
2022-07-06,Delhi,136464263,229399404,5058930,1,42.0,0.0,21869,33.558235,15838,Catch (Kutti Mirch) Red Chilli Powder,100 g,Chilli Powder,Catch,D S Group (Spices),"Dry Fruits, Masala & Oil",Powdered Spices,Powdered Spices,1557,50,50
