,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,date_,city_name,order_id,cart_id,dim_customer_key,procured_quantity,unit_selling_price,total_discount_amount,product_id,total_weighted_landing_price
0,753477,753477,753477,2022-04-01,HR-NCR,112250867,164444739,3326530,1,21.0,0.0,448913,13.0
1,2990828,2990828,2990828,2022-04-15,Delhi,115229870,181299552,16031366,1,105.0,0.0,3570,91.66101
2,27026764,4829574,4829574,2022-06-09,Bengaluru,129338452,206030370,1206076,1,46.0,0.0,432778,42.002
3,36826782,2476827,2476827,2022-05-07,HR-NCR,120438889,194958751,578535,1,30.0,0.0,86446,25.8
4,17662591,2276695,2276695,2022-07-08,Delhi,137087730,230469163,10953663,1,30.0,0.0,123060,22.754007
5,37257434,2907479,2907479,2022-05-01,Bengaluru,119114490,190739346,14495710,1,30.0,0.0,391305,23.081823
6,13779839,6216364,6216364,2022-04-26,HR-NCR,117770757,187876469,18737480,1,162.0,38.0,482165,153.47955
7,11640109,4076634,4076634,2022-04-16,Bengaluru,115513385,182008889,5627396,4,21.0,0.0,369013,60.0
8,15319373,7755898,7755898,2022-04-30,Delhi,118779311,181687963,17849477,1,89.0,0.0,19297,79.8
9,6958557,6958557,6958557,2022-04-12,HR-NCR,114755232,180044795,18358273,1,95.0,0.0,97121,80.98306
10,507898,507898,507898,2022-04-11,Bengaluru,114449959,174182012,1525262,1,11.0,0.0,3881,7.994106
11,1418287,1418287,1418287,2022-04-02,Delhi,112466024,173889959,816083,1,19.0,0.0,199435,14.341295
12,39240022,4890067,4890067,2022-05-10,HR-NCR,121436842,197547284,13950121,1,245.0,0.0,108301,252.47192
13,26401989,4204799,4204799,2022-06-04,Delhi,127996831,209794585,18146731,1,51.0,0.0,483231,45.506874
14,12991905,5428430,5428430,2022-04-21,HR-NCR,116655826,184983052,17323387,1,131.0,0.0,449125,90.0
15,28915192,519568,519568,2022-06-12,Bengaluru,130211985,217584155,17330032,1,50.0,0.0,101230,41.0
16,20390494,5004598,5004598,2022-07-09,Delhi,137303877,232889909,1077082,1,102.0,0.0,32515,72.000244
17,11377208,3813733,3813733,2022-04-26,Delhi,117783128,187913319,16116772,2,25.0,0.0,212722,42.681912
18,21430284,6044388,6044388,2022-07-06,Delhi,136464263,229399404,5058930,1,42.0,0.0,21869,33.558235
19,6718916,6718916,6718916,2022-04-02,HR-NCR,112499242,167501737,2960023,1,55.0,0.0,352443,47.0
20,42879561,2548881,2548881,2022-05-20,Delhi,123970647,204082610,17548508,1,42.0,0.0,329549,36.120068
21,3859880,3859880,3859880,2022-04-02,Delhi,112491288,173950380,3126896,1,122.0,0.0,168,115.673996
22,12723284,5159809,5159809,2022-04-23,HR-NCR,117116345,186162002,194316,2,95.0,0.0,252760,231.92896
23,41608910,1278230,1278230,2022-05-16,Delhi,122938583,201049203,18865153,1,178.0,0.0,294787,132.2606
24,3369816,3369816,3369816,2022-04-14,HR-NCR,115164329,177843921,13558360,1,106.0,0.0,63628,97.092995
25,14098234,6534759,6534759,2022-04-30,Delhi,118876452,190779275,18843370,1,150.0,75.0,383480,147.95503
26,1303277,1303277,1303277,2022-04-11,Mumbai,114416880,179176447,18222215,1,70.0,0.0,11527,60.87473
27,1307707,1307707,1307707,2022-04-13,Delhi,114977050,172902085,2423137,2,20.0,0.0,11150,33.987064
28,257300,257300,257300,2022-04-11,HR-NCR,114541536,179488501,1455877,1,70.0,0.0,389835,59.345833
29,42956777,2626097,2626097,2022-05-15,Bengaluru,122681433,199667336,18663799,9,11.0,0.0,389709,46.080036
30,23551337,1354147,1354147,2022-06-04,HR-NCR,127867984,211891253,18681344,1,25.0,0.0,19512,24.15
31,23185392,988202,988202,2022-06-03,Bengaluru,127703877,202647604,4458602,1,37.0,0.0,3555,32.397
32,17881160,2495264,2495264,2022-07-08,Bengaluru,137057935,231222107,17442779,1,27.0,0.0,391306,21.342382
33,13648840,6085365,6085365,2022-04-24,Delhi,117307174,186032301,18621317,1,236.0,0.0,474771,185.0
34,16213728,827832,827832,2022-07-04,Delhi,136056406,231574525,3774250,1,11.0,0.0,3889,5.5
35,27709763,5512573,5512573,2022-06-02,HR-NCR,127477720,199390621,3002497,1,30.0,0.0,19924,86.190003
36,44813205,4482525,4482525,2022-05-20,Bengaluru,123979601,204105358,18816704,1,69.0,0.0,391146,60.204
37,9001621,1438146,1438146,2022-04-26,Delhi,117855600,187514112,13023385,1,49.0,0.0,479964,40.498135
38,6235204,6235204,6235204,2022-04-04,HR-NCR,113072643,175562892,5664416,1,70.0,0.0,339444,50.827274
39,3272980,3272980,3272980,2022-04-05,Bengaluru,113090131,175638789,16727614,1,21.0,0.0,237680,14.0
40,26116154,3918964,3918964,2022-06-07,Delhi,128689898,215571563,14849248,1,63.0,0.0,82218,47.25035
41,21598525,6212629,6212629,2022-07-10,Delhi,137535904,233101265,10010549,1,18.0,0.0,341746,15.659999
42,21168508,5782612,5782612,2022-07-02,Delhi,135327213,230393493,16227939,1,10.0,0.0,467651,7.0
